Instrument,ISIN,ISIX,WKN,Mnemonic,MIC Code,URL,,,,,,,,,,,,,,,,,,,,,,,Start Intraday Auction 10,Start Closing Auction
TMC CONTENT GR.AG INH.SF1,CH0016458363,3991,121527,ERO1,XETR,http://www.finanzen.at/aktien/tmc_Content_Group-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
OPENLIMIT HLDG INH. SF-30,CH0022237009,9216,000A0F5UQ,O5H,XETR,http://www.finanzen.at/aktien/OpenLimit-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
KUEHNE + NAGEL INTL  SF 1,CH0025238863,710,000A0JLZL,KNIA,XETR,http://www.finanzen.at/aktien/Kuehne_+_Nagel_International-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
"LOGITECH INTL NA  SF -,25",CH0025751329,712,000A0J3YT,LTEC,XETR,http://www.finanzen.at/aktien/Logitech_International_SA-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
ADDEX THERAPEUTICS SF 1,CH0029850754,1956,000A0MSH6,APE,XETR,http://www.finanzen.at/aktien/Addex_Therapeutics-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
GEBERIT AG NA DISP. SF-10,CH0030170408,2561,000A0MQWG,GBRA,XETR,http://www.finanzen.at/aktien/Geberit-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
MATADOR PR.EQ. INH. SF 10,CH0030773102,295,000A0MR09,MT4,XETR,http://www.finanzen.at/aktien/Matador_Private_Equity-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
"SULZER NAM.       SF -,01",CH0038388911,14782,000A0NJPK,SUL1,XETR,http://www.finanzen.at/aktien/Sulzer-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
"BB BIOTECH NAM.   SF 0,20",CH0038389992,18857,000A0NFN3,BBZA,XETR,http://www.finanzen.at/aktien/BB_BIOTECH-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
"NESTLE NAM.        SF-,10",CH0038863350,2976,000A0Q4DC,NESR,XETR,http://www.finanzen.at/aktien/Nestle_SA_1-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
"MEYER BUR.TECH.NAM.SF-,05",CH0108503795,715,000A0YJZX,M6YA,XETR,http://www.finanzen.at/aktien/Meyer_Burger-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
"SWISS RE AG NAM.  SF -,10",CH0126881561,425,000A1H81M,SR9,XETR,http://www.finanzen.at/aktien/Swiss_Re-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
INFIN INNOV.FIN.INH.SF-20,CH0132106482,2140,000A14NYB,KCC,XETR,http://www.finanzen.at/aktien/INFIN_INNOVATIVE_FINANCE-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
"LION E-MOBILITY AG SF-,13",CH0132594711,2568,000A1JG3H,LMI,XETR,http://www.finanzen.at/aktien/LION_E-Mobility-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
CIE FIN.RICHEMONT   SF 1,CH0210483332,1224,000A1W5CV,RITN,XETR,http://www.finanzen.at/aktien/Richemont-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
"UBS GROUP AG      SF -,10",CH0244767585,2102,000A12DFH,0UB,XETR,http://www.finanzen.at/aktien/UBS-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
"EDAG ENGINEERING G.SF-,04",CH0303692047,446,000A143NB,ED4,XETR,http://www.finanzen.at/aktien/Edag-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
BYD CO. LTD H        YC 1,CNE100000296,17693,000A0M4W9,BY6,XETR,http://www.finanzen.at/aktien/BYD-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
CHINA LIFE INS. H    YC 1,CNE1000002L3,2069,000A0M4XJ,CHL,XETR,http://www.finanzen.at/aktien/China_Life_Insurance-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
PETROCHINA CO. LTD H YC 1,CNE1000003W8,17636,000A0M4YQ,PC6,XETR,http://www.finanzen.at/aktien/PetroChina-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
